Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6387f888200582a553255fb7,60fd0c7f3feef315172385cf,AWAITING REVIEW,2022-12-01T00:42:51.520000Z,2022-12-01T00:43:53.068000Z,,2022-12-01T00:43:53.426820Z,62,NOCODE,684,Graduate degree (MA/MSc/MPhil/other),37,Female,White,United States,United States,United States,English,No,Full-Time
6387f8dfbec23370d7f0caff,5783abeebaec1b00016943d9,AWAITING REVIEW,2022-12-01T00:44:19.879000Z,2022-12-01T00:45:29.203000Z,,2022-12-01T00:45:30.040057Z,70,NOCODE,755,Graduate degree (MA/MSc/MPhil/other),39,Male,White,United States,United States,United States,English,No,Full-Time
6387f8e4d0287f3c8bcfd084,58c3c835334d5b0001d6374e,APPROVED,2022-12-01T00:44:22.619000Z,2022-12-01T00:44:56.084000Z,2022-12-01T00:44:56.562000,2022-12-01T00:44:56.481394Z,34,C109FFJY,2472,Graduate degree (MA/MSc/MPhil/other),DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Canada,United States,United States,English,No,DATA_EXPIRED
6387f9206b0b58deff08cdf5,57a08ec3dcff7d0001c7ce99,APPROVED,2022-12-01T00:45:24.527000Z,2022-12-01T00:46:01.285000Z,2022-12-01T00:46:01.719000,2022-12-01T00:46:01.653827Z,37,C109FFJY,3589,Graduate degree (MA/MSc/MPhil/other),41,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6387f93608c6f0c379d5636a,6369174d2ded623f59d94e9d,AWAITING REVIEW,2022-12-01T00:45:46.162000Z,2022-12-01T00:47:11.677000Z,,2022-12-01T00:47:12.098233Z,86,NOCODE,101,Graduate degree (MA/MSc/MPhil/other),DATA_EXPIRED,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6387fa15db683be2629f9324,62fcf3d9948e4a6a9623cce8,APPROVED,2022-12-01T00:49:31.487000Z,2022-12-01T00:51:20.173000Z,2022-12-01T00:51:20.935000,2022-12-01T00:51:20.870437Z,109,C109FFJY,311,Graduate degree (MA/MSc/MPhil/other),71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6387fa2cd6445fd9beaffe64,5e88bbc1cd23220008a323a1,APPROVED,2022-12-01T00:49:51.220000Z,2022-12-01T00:50:21.104000Z,2022-12-01T00:50:21.587000,2022-12-01T00:50:21.522179Z,30,C109FFJY,1687,Graduate degree (MA/MSc/MPhil/other),57,Male,White,United States,United States,United States,English,No,Full-Time
6387fa4274fb41760c4b6c85,59d75f1b8fd07a0001841feb,APPROVED,2022-12-01T00:50:12.377000Z,2022-12-01T00:50:47.353000Z,2022-12-01T00:50:47.914000,2022-12-01T00:50:47.841784Z,35,C109FFJY,3740,Graduate degree (MA/MSc/MPhil/other),68,Male,White,United States,United States,United States,English,No,Part-Time
6387fa6c0ed4a8a8d6196f0b,5feccdbdc92395ec2cc2a4a0,APPROVED,2022-12-01T00:51:06.941000Z,2022-12-01T00:51:32.182000Z,2022-12-01T00:51:32.638000Z,2022-12-01T00:51:33.346737Z,26,C109FFJY,1857,Doctorate degree (PhD/other),27,Male,White,United States,United States,United States,English,No,Full-Time
6387fa8494732febff0da6d5,60ff4fc94dbc53a93c790a0b,AWAITING REVIEW,2022-12-01T00:51:18.712000Z,2022-12-01T00:52:10.446000Z,,2022-12-01T00:52:10.880340Z,52,NOCODE,259,Graduate degree (MA/MSc/MPhil/other),24,Female,Black,Germany,United States,United States,English,Yes,Due to start a new job within the next month
